Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1158,23,2025-04-09 23:40:00,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
1159,23,2025-04-09 23:40:00,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,
1160,23,2025-04-10 00:10:00,United Center,Chicago Bulls,Miami Heat,
1161,23,2025-04-10 00:10:00,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,
1162,23,2025-04-10 01:10:00,Delta Center,Utah Jazz,Portland Trail Blazers,
1163,23,2025-04-10 02:10:00,Chase Center,Golden State Warriors,San Antonio Spurs,
1164,23,2025-04-10 02:10:00,Footprint Center,Phoenix Suns,Oklahoma City Thunder,
1165,23,2025-04-10 02:10:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,
1166,23,2025-04-10 02:40:00,Intuit Dome,LA Clippers,Houston Rockets,
1167,23,2025-04-10 23:10:00,Little Caesars Arena,Detroit Pistons,New York Knicks,
